model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time
zero_input,-1,2,Zero Input,16,0.0,200,1.3290493549285138,1.8877133991102713,3.9871480647855417,4.4109982493574975,3.3318453431129456,0.0,0.0,0.0,14.363157749176025,6.252492085117754,-1,nan
linear_gain_8,-1,2,Linear,17,0.0,200,3.169587517073587,4.344754279509534,9.50876255122076,5.596441087163525,11.83377057313919,1.7874906775437092,88.83948385701217,0.095,17.519338607788086,10.726859438691788,-1,nan
lqr_node2_q1_r1,-1,2,LQR,17,0.0,200,0.43484575351961857,1.010734353774344,1.3045372605588557,0.10110349105786026,0.005213022232055664,0.22380984436424986,7.396160431836036,0.01,15.000001907348633,2.3937265027768504,148,7.4
zero_input,-1,2,Zero Input,17,0.0,200,1.085205169569574,1.5968359240858836,3.255615508708722,3.3714731953762196,2.637280762195587,0.0,0.0,0.0,14.815567016601562,5.123502575046388,-1,nan
linear_gain_8,-1,2,Linear,18,0.0,200,2.0759717834895093,3.0029365193779705,6.227915350468527,5.182037707832125,11.747285306453705,1.3736658820190335,58.8905064792408,0.0475,17.883282899856567,5.04266797710414,-1,nan
lqr_node2_q1_r1,-1,2,LQR,18,0.0,200,0.4421651024682601,1.0253794249698531,1.3264953074047803,0.10633395842196029,0.005964040756225586,0.1926888651436805,6.351379620023558,0.01,15.00000286102295,2.4701136889223436,149,7.45
zero_input,-1,2,Zero Input,18,0.0,200,1.1490011721205335,1.7584845198744001,3.4470035163616006,4.117936212891414,3.7144564390182495,0.0,0.0,0.0,15.044533252716064,5.958118174577233,-1,nan
linear_gain_8,-1,2,Linear,19,0.0,200,2.3669584851885404,3.4759126566136347,7.10087545556562,5.212651463570418,11.808155626058578,1.5122905142066485,70.43815375858108,0.0525,18.073973894119263,4.944109511158582,-1,nan
lqr_node2_q1_r1,-1,2,LQR,19,0.0,200,0.5586862624611268,1.1546461119265257,1.6760587873833808,0.1062045748816964,0.006124317646026611,0.3550404342683494,17.318957523036953,0.035,14.999873161315918,2.558575969736152,150,7.5
zero_input,-1,2,Zero Input,19,0.0,200,1.9983171077192772,2.6072965937357218,5.9949513231578315,2.8825547023687834,3.791606068611145,0.0,0.0,0.0,16.01793336868286,4.714747512740876,-1,nan
linear_gain_8,-1,3,Linear,0,0.0,200,0.26015364353143217,0.7771822566839213,0.7804609305942966,0.022370523796129374,0.003927171230316162,0.3106489687637795,18.503577892273963,0.0525,14.997252941131592,1.264856659121515,113,5.65
lqr_node3_q1_r1,-1,3,LQR,0,0.0,200,0.3437031016492301,0.8233323536665542,1.0311093049476903,0.05567702974112314,0.004180252552032471,0.198755409074146,7.9637405490206135,0.0125,14.998775959014893,1.618567712016552,127,6.3500000000000005
zero_input,-1,3,Zero Input,0,0.0,200,1.7262996034735407,2.1444822946569913,5.178898810420622,5.684952974319458,3.8770211338996887,0.0,0.0,0.0,13.249173521995544,5.966573052516031,-1,nan
linear_gain_8,-1,3,Linear,1,0.0,200,0.24146518466494055,0.7524222138302246,0.7243955539948217,0.024278131164150472,0.0042670369148254395,0.29668715291487013,16.975435178830647,0.0425,15.0008544921875,1.2416882795555082,115,5.75
lqr_node3_q1_r1,-1,3,LQR,1,0.0,200,0.3213074989036246,0.8066593659749659,0.9639224967108737,0.06309474652840032,0.004880130290985107,0.22481253831571854,9.929405859022403,0.015,15.000605583190918,1.7032015072228155,132,6.6000000000000005
zero_input,-1,3,Zero Input,1,0.0,200,1.4963661565438395,2.1251151142955083,4.489098469631519,1.3858593774062615,3.194657623767853,0.0,0.0,0.0,16.0663480758667,4.394175839809636,-1,nan
linear_gain_8,-1,3,Linear,2,0.0,200,0.22887743026535287,0.7539425106621199,0.6866322907960586,0.023244362071524433,0.004086852073669434,0.241934110714759,13.615473418817414,0.0375,14.999412536621094,1.2649202517775902,114,5.7
lqr_node3_q1_r1,-1,3,LQR,2,0.0,200,0.29671914740337846,0.7970721207347938,0.8901574422101353,0.05945908365610205,0.004511833190917969,0.16321984761986216,5.997959862250292,0.01,14.99963092803955,1.6633594536699763,130,6.5
zero_input,-1,3,Zero Input,2,0.0,200,1.339553929376087,1.9020893872397968,4.01866178812826,1.3212968409061432,3.027127742767334,0.0,0.0,0.0,14.991974592208862,4.502172143972335,-1,nan
linear_gain_8,-1,3,Linear,3,0.0,200,0.23209664239048808,0.7575077495145042,0.6962899271714643,0.022968083206150267,0.0040343403816223145,0.23947570482245706,15.089172129866995,0.0425,14.999959468841553,1.2639287899234402,114,5.7
lqr_node3_q1_r1,-1,3,LQR,3,0.0,200,0.30530985272144984,0.8019155463403258,0.9159295581643495,0.058445104915234775,0.004413962364196777,0.14616014623573137,5.911668196770842,0.01,15.000006198883057,1.6520038575063742,129,6.45
zero_input,-1,3,Zero Input,3,0.0,200,0.9871608292620477,1.5559880399663286,2.961482487786143,3.3881067162678566,3.393955945968628,0.0,0.0,0.0,14.894829750061035,5.11927798672102,-1,nan
linear_gain_8,-1,3,Linear,4,0.0,200,0.23787312056630824,0.7618974911652504,0.7136193616989247,0.024121821260102736,0.0042504072189331055,0.2901232409990042,18.24573029298719,0.0525,15.001041412353516,1.2689290585144612,115,5.75
lqr_node3_q1_r1,-1,3,LQR,4,0.0,200,0.3205079068154939,0.811466273079703,0.9615237204464817,0.06213545957925143,0.004782736301422119,0.19221969087291138,8.523891669623755,0.015,15.000615119934082,1.6928049969899268,131,6.550000000000001
zero_input,-1,3,Zero Input,4,0.0,200,1.6596076818769883,2.122232167244834,4.978823045630965,3.9104053606221707,6.742515683174133,0.0,0.0,0.0,15.44265365600586,5.3305124435851825,-1,nan
linear_gain_8,-1,3,Linear,5,0.0,200,0.29042377684293247,0.7858110779452306,0.8712713305287973,0.024178252796883935,0.0042465925216674805,0.3178281956108431,15.768689056299133,0.0375,15.00252103805542,1.2458219202096337,115,5.75
lqr_node3_q1_r1,-1,3,LQR,5,0.0,200,0.3594305476913862,0.8297162518390907,1.0782916430741585,0.06264055595031859,0.004824817180633545,0.22792486135794593,7.336462551717893,0.01,15.001642227172852,1.698868047876923,132,6.6000000000000005
zero_input,-1,3,Zero Input,5,0.0,200,2.1319094686981845,2.70816818045459,6.395728406094554,4.4896549258703065,3.574064254760742,0.0,0.0,0.0,15.635319709777832,5.6862432698705305,-1,nan
linear_gain_8,-1,3,Linear,6,0.0,200,0.2753173630248758,0.7654599391627949,0.8259520890746275,0.02207332281510771,0.0038781166076660156,0.3358664632753987,16.439170288735845,0.04,14.992605209350586,1.2600069772637454,113,5.65
lqr_node3_q1_r1,-1,3,LQR,6,0.0,200,0.3231641336217219,0.7994455752826497,0.9694924008651657,0.055468935163024764,0.004170656204223633,0.2051671300172815,6.254589195748694,0.01,14.997347831726074,1.6134903257694189,127,6.3500000000000005
zero_input,-1,3,Zero Input,6,0.0,200,1.8215256296810465,2.3400905032822346,5.46457688904314,3.605453429582678,3.8014864921569824,0.0,0.0,0.0,13.676840424537659,5.848267493037442,-1,nan
linear_gain_8,-1,3,Linear,7,0.0,200,0.2829762464900155,0.7757115806286411,0.8489287394700465,0.024236275136102863,0.00426250696182251,0.3200360793908338,15.122310244713436,0.0375,15.00291109085083,1.2519877953037841,115,5.75
lqr_node3_q1_r1,-1,3,LQR,7,0.0,200,0.34990311091872595,0.8212654013154479,1.049709332756178,0.06279092514312562,0.0048444271087646484,0.2503495794664917,8.388722543778394,0.01,15.001854419708252,1.7000434145942998,132,6.6000000000000005
zero_input,-1,3,Zero Input,7,0.0,200,1.8271403961992223,2.367359884853313,5.481421188597667,3.087158622013198,3.596156120300293,0.0,0.0,0.0,15.745481491088867,4.918482357219084,-1,nan
linear_gain_8,-1,3,Linear,8,0.0,200,0.21865797445335963,0.7453239110442181,0.6559739233600789,0.024233800209598776,0.004257559776306152,0.21391886803426052,12.789401789750759,0.0375,14.999876976013184,1.2424309139617196,115,5.75
lqr_node3_q1_r1,-1,3,LQR,8,0.0,200,0.2957885520964712,0.799409093273214,0.8873656562894137,0.06288135773789735,0.004854381084442139,0.12916214247439017,4.932134877987134,0.01,14.99989938735962,1.7010395133413783,132,6.6000000000000005
zero_input,-1,3,Zero Input,8,0.0,200,0.9556770606271471,1.6337054108572957,2.8670311818814413,3.6453043858946104,3.8560428619384766,0.0,0.0,0.0,14.998604774475098,5.556195429753308,-1,nan
linear_gain_8,-1,3,Linear,9,0.0,200,0.23957972928760876,0.7567513925437881,0.7187391878628262,0.024095503624850585,0.004239499568939209,0.2666911999149216,14.637872993914948,0.04,14.997948169708252,1.2604252953981212,115,5.75
lqr_node3_q1_r1,-1,3,LQR,9,0.0,200,0.32616063308706994,0.8096621541904672,0.9784818992612099,0.0623382231404568,0.004790306091308594,0.15466204649789672,5.106823581536593,0.01,14.999052047729492,1.6964939744790914,131,6.550000000000001
zero_input,-1,3,Zero Input,9,0.0,200,1.5085162448875624,2.073094340647765,4.525548734662688,4.360497058909616,6.589635610580444,0.0,0.0,0.0,14.54009485244751,6.694654560726674,-1,nan
linear_gain_8,-1,3,Linear,10,0.0,200,0.24235857384479106,0.7657061440374336,0.7270757215343732,0.02316449996497896,0.004072725772857666,0.31108071653177016,20.719493092415377,0.06,15.000184535980225,1.264677282691521,114,5.7
lqr_node3_q1_r1,-1,3,LQR,10,0.0,200,0.31730159392684126,0.8093522886232897,0.9519047817805238,0.05921533368067977,0.004490852355957031,0.21334302573200772,11.383668580920684,0.025,15.000140190124512,1.660356450640592,129,6.45
zero_input,-1,3,Zero Input,10,0.0,200,2.074528613472272,2.6022641116441663,6.223585840416817,4.69773358952852,7.5706340074539185,0.0,0.0,0.0,14.224148273468018,6.577186356470063,-1,nan
