model_name,train_seed,node,method,test_seed,scenario,mismatch,noise_std,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,noise,0.0,0.0,-1,0.021055429932914507,0.11487763825505727,0.06316628979874352,0.0074458162840685726,0.003931820392608643,0.09813068359347056,6.029509163254093,0.015,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,noise,0.0,0.0,-1,0.022437051052215228,0.11580216768989873,0.0673111531566457,0.0162954175453863,0.02680516242980957,0.10512226755310436,6.8201264212239625,0.02,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,noise,0.0,0.0,-1,0.021083370022783838,0.11437514979352915,0.06325011006835152,0.005847835194687416,0.01441943645477295,0.08994079871739533,5.346805191828404,0.015,,
lqr_node2_q1_r1,-1,2,LQR,100,noise,0.0,0.05,-1,0.2983783471699206,0.4281015385206494,0.895135041509762,0.5388918688267837,0.4073135256767273,0.47176661604186265,7.372412404359796,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,noise,0.0,0.05,-1,0.18482968456197782,0.2629273245355604,0.5544890536859334,0.40355867404996615,0.15100789070129395,2.497825551582988,157.96591356844405,0.28,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,noise,0.0,0.05,-1,0.19212768468092306,0.27357079549430724,0.5763830540427692,0.3548798860499152,0.14515525102615356,1.6549375488648093,82.10751350321237,0.0675,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,noise,0.0,0.05,-1,0.1968863378724057,0.283094660884022,0.5906590136172171,0.36225342401015903,0.1733466386795044,2.7407916119122446,187.14835040289836,0.3775,,
lqr_node3_q1_r1,-1,3,LQR,100,noise,0.0,0.05,-1,0.169797849187245,0.2395399425901222,0.5093935475617349,0.48393384321236316,0.41111963987350464,0.36555837961497306,4.232312089651629,0.0,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,noise,0.0,0.05,-1,0.14509409592438147,0.2027258985412105,0.43528228777314437,0.4558262580683754,0.375171422958374,1.3744642491129568,58.06348896199379,0.03,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,noise,0.0,0.05,-1,0.13000324630454888,0.19327683665162895,0.39000973891364665,0.39126458225978744,0.4807822108268738,1.8299857937589177,96.6012805570342,0.0825,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,noise,0.0,0.05,-1,0.12704077624876117,0.19154019279054707,0.3811223287462835,0.37636164150396245,0.47941821813583374,1.4630284796183246,64.16638530462777,0.0325,,
