method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
SAC,3,123,107,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.08348642172894176,0.19110040402025585,0.2504592651868253,0.15516637881964812,0.15804928541183472,0.19226078915774375,6.038472934092446,0.0
SAC,3,123,108,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.07406255313878878,0.15939643945181153,0.2221876594163663,0.13576898820422315,0.13697534799575806,0.20962625727094616,8.313769993954645,0.0
SAC,3,123,109,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.07950305803009275,0.20942048820554346,0.23850917409027828,0.06322891598015472,0.021301385015249252,0.19260284906610883,8.047289890224844,0.0
SAC,3,123,110,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.027429532404858945,0.06262750384851735,0.08228859721457683,0.07001784758895267,0.05745293200016022,0.1452224224880152,2.673983223267959,0.0
SAC,3,123,111,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.03978986257620633,0.06138567909871068,0.11936958772861898,0.04729134949315109,0.007735914550721645,0.11469975433444739,3.3399940849743275,0.0
SAC,3,123,112,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06429966843933957,0.17914828686117934,0.1928990053180187,0.02910520094389349,0.005322746932506561,0.14494106894419378,2.8175591158490167,0.0
SAC,3,123,113,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06027821291598831,0.1275103303868404,0.18083463874796493,0.08268870824350068,0.04663775861263275,0.1703898074323697,2.123882407454025,0.0
SAC,3,123,114,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.021764013608716312,0.062426846496514546,0.06529204082614894,0.011944322950310178,0.02628263831138611,0.0923196829465262,1.6917359856161938,0.0
SAC,3,123,115,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.029834235612696294,0.048032253493878865,0.08950270683808889,0.08140387787357156,0.1516493856906891,0.0941454329692812,2.382363838970613,0.0
SAC,3,123,116,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.104436048830055,0.21343955305696227,0.31330814649016503,0.22672490908959766,0.17529815062880516,0.22170121235740453,6.340856957087337,0.0
SAC,3,123,117,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.03973850524978107,0.16418048191214105,0.1192155157493432,0.0173774385554601,0.009058916941285133,0.13750204243267564,6.177191527680765,0.0
SAC,3,123,118,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.045597719190005874,0.08938128145901954,0.13679315757001761,0.048067676719784,0.02561897411942482,0.10841762989833766,4.442187370059503,0.0
SAC,3,123,119,0.05,1.0,0.05,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.0451182407938201,0.11114544797919186,0.1353547223814603,0.03954471956455597,0.005111992359161377,0.14144833486276376,4.257796694019788,0.0
SAC,3,123,100,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.07847774583545954,0.11873648102299605,0.23543323750637862,0.13167418833868003,0.05408342368900776,0.18161400951946763,5.144577601664205,0.0
SAC,3,123,101,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.06078102146619846,0.16941163404314385,0.18234306439859538,0.06127457605835832,0.07155463099479675,0.17006382145489243,7.590872706528495,0.0
SAC,3,123,102,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.07023031337547456,0.16955587912402026,0.21069094012642367,0.07443448851735872,0.023837566375732422,0.17066322359955519,5.112078862942468,0.0
SAC,3,123,103,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.06493959644095583,0.14558697483415126,0.1948187893228675,0.1226362901751274,0.05823269486427307,0.2438309382916686,8.136186124093829,0.0
SAC,3,123,104,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.13495827183523776,0.22910655898596566,0.4048748155057133,0.14036408577252318,0.07218439038842916,0.24511416475671782,9.072967389930591,0.0
SAC,3,123,105,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.04005276591688122,0.08951876550880714,0.12015829775064366,0.08954269209025818,0.14862632751464844,0.12950199857317005,3.9872023436497757,0.0
SAC,3,123,106,0.03,2.0,0.06,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.048038517955438245,0.1229543549323324,0.14411555386631472,0.03846211454049213,0.02922007627785206,0.11749481441374134,2.9661336613877127,0.0
