method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
Fixed_k8,2,-1,105,0.05,2.0,0.1,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",3.0998123480581485,3.940191230295367,9.299437044174445,10.266167133678625,11.952924311161041,1.58080368015237,54.48959222679878,0.0025
Fixed_k8,2,-1,106,0.05,2.0,0.1,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",2.734886559028355,3.6224371711724235,8.204659677085065,6.9214838520612245,7.176514357328415,1.4406322846537516,50.791373332554045,0.005
Fixed_k8,2,-1,107,0.05,2.0,0.1,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",1.7064041371890037,2.280692022220842,5.119212411567012,4.029347928125917,2.0218637585639954,0.848405621444198,17.279663828468365,0.0
Fixed_k8,2,-1,108,0.05,2.0,0.1,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",3.229588605928005,4.144555609229029,9.688765817784015,11.694030711496318,13.10314029455185,1.597517740399463,55.58637191105087,0.005
Fixed_k8,2,-1,109,0.05,2.0,0.1,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",3.3874641072503597,4.507425601024035,10.16239232175108,9.598520934535765,8.188544407486916,1.6013322706680346,63.59313592769562,0.01
Fixed_k8,2,-1,110,0.05,2.0,0.1,0,deterministic,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",2.0541679923076583,2.7928001856392854,6.162503976922975,4.891703429597396,7.259155854582787,1.4156099040609345,45.791742121708765,0.0
Fixed_k8,2,-1,111,0.05,2.0,0.1,0,deterministic,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",3.046945080598499,4.078918044522868,9.140835241795497,7.782314536564144,8.094382420182228,1.4063224855838274,48.0081304027059,0.0
Fixed_k8,2,-1,112,0.05,2.0,0.1,0,deterministic,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",2.353573750286477,3.511347358875301,7.060721250859431,9.026498069457801,8.48578329384327,1.3596742651111764,51.76417608820255,0.0125
Fixed_k8,2,-1,113,0.05,2.0,0.1,0,deterministic,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",2.4475565670260964,3.3159684773409226,7.342669701078289,5.876459997929173,6.598197966814041,1.7057101215210342,65.58590882159353,0.005
Fixed_k8,2,-1,114,0.05,2.0,0.1,0,deterministic,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",2.854796098007922,3.7256781578424043,8.564388294023766,7.8087585130591455,6.820159047842026,1.5336828273430727,54.38462970086,0.0
Fixed_k8,2,-1,115,0.05,2.0,0.1,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",2.7378170041217222,3.7366013481539286,8.213451012365168,10.0859576643985,11.796063482761383,1.2396986556617993,37.706153498993174,0.0
Fixed_k8,2,-1,116,0.05,2.0,0.1,0,deterministic,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",2.7107169254065946,3.746343377526097,8.132150776219785,5.423830479015539,7.067961350083351,1.4025383908255142,46.482494726278595,0.01
Fixed_k8,2,-1,117,0.05,2.0,0.1,0,deterministic,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",3.120163718977028,4.181554941009336,9.360491156931085,8.045427713957098,7.973609432578087,1.5877372411421111,60.82639486113485,0.0
Fixed_k8,2,-1,118,0.05,2.0,0.1,0,deterministic,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",2.8031001887822264,3.763508412433038,8.40930056634668,8.041974739206058,7.747136905789375,1.4146418585964569,49.903501617123524,0.0025
