model,node,training_seed,evaluation_seed,largest_conditional_exponent,middle_conditional_exponent,smallest_conditional_exponent,largest_exponent_negative,post_burn_error_mean,post_burn_error_p95,post_burn_error_max,post_burn_action_abs_max,post_burn_action_abs_mean
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,6,-0.5857414570868078,-7.240701932561382,-14.316695804982317,True,0.012025635860596882,0.02273825453594327,0.051363229751586914,0.05816490575671196,0.003538470482147348
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,7,-0.5875730825309929,-7.254518302547886,-14.365677054472053,True,0.011091331349973763,0.021068076603114605,0.039619218558073044,0.04413909837603569,0.00272719903383404
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,8,-0.5886489480893425,-7.189085805108658,-14.314095466669702,True,0.011099216203407482,0.021771600283682347,0.0265073012560606,0.01653451845049858,0.002229619676087934
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,9,-0.5837540656055952,-7.290978281743074,-14.360266666821788,True,0.011168646998090767,0.02165544908493757,0.026058901101350784,0.023113727569580078,0.0025618177244905384
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,10,-0.5819660946377274,-7.365835951744117,-14.343151342616013,True,0.010474387755997381,0.021160466037690638,0.025187408551573753,0.007612760178744793,0.001837640377680624
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,1,-0.591687121070391,-6.044297343631232,-24.169378303242425,True,0.0061649884184283256,0.013624073890969157,0.0160122811794281,0.029176734387874603,0.0018167839238518162
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,2,-0.5900704997799874,-6.078962378610423,-24.181845148124403,True,0.005765180602259199,0.013050920609384774,0.015396337024867535,0.013296335935592651,0.001609832428787884
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,3,-0.5867675867976824,-6.143822973642462,-24.22657535013998,True,0.0060666471621861045,0.013713336223736404,0.015634814277291298,0.007362261414527893,0.0015203329528632916
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,4,-0.5891312787811104,-6.108554520131395,-24.247643603327734,True,0.006510053622447518,0.01370452083647251,0.016079135239124298,0.010978206992149353,0.0016999567966712148
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,5,-0.5915035899339962,-6.034836306216342,-24.1735142810353,True,0.006890258282946888,0.014298068918287752,0.03778272122144699,0.060028091073036194,0.0022584355151967
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,6,-0.5874760589000058,-6.109287602459227,-24.231430280050315,True,0.007030777027064591,0.015026867017149925,0.05090591683983803,0.0564403235912323,0.0029324175574277577
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,7,-0.5895401257180591,-6.120097529164258,-24.224711159720243,True,0.006382758889981472,0.013408425915986299,0.04378056153655052,0.049522221088409424,0.0022777771243923588
