method,time,message,sent_signal,recovered_message,recovery_error,x1,y1
Linear,4.9,-0.04817536845803261,-0.8105556964874268,-0.03016519546508789,0.018010172992944717,-0.7623803019523621,-0.7803905010223389
Linear,4.95,-0.02486898936331272,-0.8119180798530579,-0.00694507360458374,0.01792391575872898,-0.7870491147041321,-0.8049730062484741
Linear,5.0,-9.797174158936853e-17,-0.8068416118621826,0.01784229278564453,0.01784229278564453,-0.8068416118621826,-0.8246839046478271
Linear,5.050000000000001,0.02486898936331272,-0.7969926595687866,0.04262804985046387,0.017759060487151146,-0.8218616247177124,-0.8396207094192505
Linear,5.1000000000000005,0.04817536845803261,-0.7840277552604675,0.06584471464157104,0.017669346183538437,-0.8322031497955322,-0.8498724699020386
Linear,5.15,0.06845471262931824,-0.7694985866546631,0.08602368831634521,0.017568975687026978,-0.8379533290863037,-0.8555222749710083
Linear,5.2,0.08443279564380646,-0.7547632455825806,0.1018875241279602,0.017454728484153748,-0.8391960263252258,-0.8566507697105408
Linear,5.25,0.09510564804077148,-0.7409094572067261,0.11242979764938354,0.01732414960861206,-0.8360151052474976,-0.8533392548561096
Linear,5.300000000000001,0.09980267286300659,-0.7286954522132874,0.1169779896736145,0.01717531681060791,-0.828498125076294,-0.8456734418869019
Linear,5.3500000000000005,0.09822872281074524,-0.7185120582580566,0.11523538827896118,0.017006665468215942,-0.8167407512664795,-0.8337474465370178
Linear,5.4,0.09048270434141159,-0.7103679776191711,0.10729974508285522,0.016817040741443634,-0.8008506894111633,-0.8176677227020264
Linear,5.45,0.0770513266324997,-0.7039011716842651,0.09365689754486084,0.016605570912361145,-0.780952513217926,-0.797558069229126
Linear,5.5,0.05877852439880371,-0.6984133720397949,0.07515013217926025,0.016371607780456543,-0.7571918964385986,-0.7735635042190552
Linear,5.550000000000001,0.03681245446205139,-0.6929275989532471,0.05292773246765137,0.016115278005599976,-0.7297400832176208,-0.7458553314208984
Linear,5.6000000000000005,0.012533322907984257,-0.6862648725509644,0.028369903564453125,0.015836581587791443,-0.6987981796264648,-0.7146347761154175
Linear,5.65,-0.012533322907984257,-0.6771334409713745,0.0030031204223632812,0.015536443330347538,-0.664600133895874,-0.6801365613937378
Linear,5.7,-0.03681245446205139,-0.6642277240753174,-0.021596431732177734,0.015216022729873657,-0.6274152994155884,-0.6426312923431396
Linear,5.75,-0.05877852439880371,-0.6463277339935303,-0.04390150308609009,0.014877021312713623,-0.5875492095947266,-0.6024262309074402
Linear,5.800000000000001,-0.0770513266324997,-0.6223936080932617,-0.06252914667129517,0.014522179961204529,-0.5453422665596008,-0.5598644614219666
Linear,5.8500000000000005,-0.09048270434141159,-0.5916497111320496,-0.07632803916931152,0.014154665172100067,-0.5011669993400574,-0.515321671962738
Linear,5.9,-0.09822872281074524,-0.5536512136459351,-0.08445054292678833,0.01377817988395691,-0.4554224908351898,-0.46920067071914673
Linear,5.95,-0.09980267286300659,-0.5083297491073608,-0.0864056944847107,0.013396978378295898,-0.40852704644203186,-0.42192405462265015
Linear,6.0,-0.09510564804077148,-0.45601487159729004,-0.08208975195884705,0.013015896081924438,-0.36090922355651855,-0.373925119638443
Linear,6.050000000000001,-0.08443279564380646,-0.39743053913116455,-0.07179319858551025,0.012639597058296204,-0.3129977285861969,-0.3256373405456543
Linear,6.1000000000000005,-0.06845471262931824,-0.33366602659225464,-0.056181907653808594,0.012272804975509644,-0.2652113139629364,-0.27748411893844604
Linear,6.15,-0.04817536845803261,-0.26612430810928345,-0.036255598068237305,0.011919770389795303,-0.21794892847537994,-0.22986871004104614
Linear,6.2,-0.02486898936331272,-0.19645048677921295,-0.013284757733345032,0.01158423162996769,-0.17158149182796478,-0.18316572904586792
Linear,6.25,-1.2246468525851679e-16,-0.1264454424381256,0.011269092559814453,0.011269092559814453,-0.1264454424381256,-0.13771453499794006
Linear,6.300000000000001,0.02486898936331272,-0.05796950310468674,0.03584539145231247,0.010976402088999748,-0.08283849060535431,-0.0938148945569992
Linear,6.3500000000000005,0.04817536845803261,0.007157847285270691,0.0588827021420002,0.01070733368396759,-0.04101752117276192,-0.05172485485672951
Linear,6.4,0.06845471262931824,0.06725616753101349,0.07891687005758286,0.010462157428264618,-0.001198542769998312,-0.011660701595246792
Linear,6.45,0.08443279564380646,0.12087467312812805,0.09467318654060364,0.01024039089679718,0.03644188120961189,0.026201486587524414
Linear,6.5,0.09510564804077148,0.1668696403503418,0.10514654219150543,0.010040894150733948,0.07176399976015091,0.061723098158836365
Linear,6.550000000000001,0.09980267286300659,0.20446428656578064,0.10966475307941437,0.009862080216407776,0.10466160625219345,0.09479953348636627
Linear,6.6000000000000005,0.09822872281074524,0.23328708112239838,0.10793066024780273,0.009701937437057495,0.13505835831165314,0.12535642087459564
Linear,6.65,0.09048270434141159,0.253386914730072,0.10004100203514099,0.0095582976937294,0.16290421783924103,0.15334591269493103
Linear,6.7,0.0770513266324997,0.2652233839035034,0.08648024499416351,0.009428918361663818,0.18817205727100372,0.1787431389093399
Linear,6.75,0.05877852439880371,0.26963311433792114,0.06809009611606598,0.009311571717262268,0.21085457503795624,0.20154301822185516
Linear,6.800000000000001,0.03681245446205139,0.2677741050720215,0.046016499400138855,0.009204044938087463,0.2309616506099701,0.22175760567188263
Linear,6.8500000000000005,0.012533322907984257,0.2610514760017395,0.0216376930475235,0.009104370139539242,0.24851815402507782,0.239413782954216
Linear,6.9,-0.012533322907984257,0.25102871656417847,-0.0035226941108703613,0.009010628797113895,0.26356205344200134,0.25455141067504883
Linear,6.95,-0.03681245446205139,0.23933064937591553,-0.027891218662261963,0.008921235799789429,0.2761431038379669,0.2672218680381775
Linear,7.0,-0.05877852439880371,0.22754302620887756,-0.04994380474090576,0.00883471965789795,0.2863215506076813,0.2774868309497833
Linear,7.050000000000001,-0.0770513266324997,0.21711598336696625,-0.06830151379108429,0.008749812841415405,0.29416730999946594,0.28541749715805054
Linear,7.1000000000000005,-0.09048270434141159,0.20927658677101135,-0.08181720972061157,0.008665494620800018,0.29975929856300354,0.2910937964916229
Linear,7.15,-0.09822872281074524,0.2049560546875,-0.0896477997303009,0.008580923080444336,0.30318477749824524,0.2946038544178009
Linear,7.2,-0.09980267286300659,0.20473641157150269,-0.09130722284317017,0.008495450019836426,0.3045390844345093,0.29604363441467285
Linear,7.25,-0.09510564804077148,0.2088192105293274,-0.08669710159301758,0.008408546447753906,0.3039248585700989,0.29551631212234497
Linear,7.300000000000001,-0.08443279564380646,0.21701915562152863,-0.07611300051212311,0.00831979513168335,0.3014519512653351,0.29313215613365173
Linear,7.3500000000000005,-0.06845471262931824,0.22878214716911316,-0.06022563576698303,0.008229076862335205,0.2972368597984314,0.2890077829360962
Linear,7.4,-0.04817536845803261,0.24322670698165894,-0.0400390625,0.008136305958032608,0.29140207171440125,0.28326576948165894
Linear,7.45,-0.02486898936331272,0.259206622838974,-0.016827553510665894,0.008041435852646828,0.28407561779022217,0.2760341763496399
Linear,7.5,-1.4695762231022014e-16,0.27539026737213135,0.007944643497467041,0.007944643497467041,0.27539026737213135,0.2674456238746643
Linear,7.550000000000001,0.02486898936331272,0.29035186767578125,0.03271520137786865,0.007846212014555931,0.2654828727245331,0.2576366662979126
