model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
zero_input,-1,3,Zero Input,114,0.0,-1,1.1579292463115474,1.5863048943187916,3.4737877389346425,3.2517210671471224,0.6919757425785065,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,115,0.0,-1,0.0568908715987592,0.16424399350411623,0.1706726147962776,7.466597620535779e-05,1.3321638107299805e-05,0.13569402017461094,4.437759374876357,0.005
lqr_node3_q1_r1,-1,3,LQR,115,0.0,-1,0.064091901092636,0.19988632248536792,0.19227570327790802,2.105935925134906e-05,1.1235475540161133e-05,0.07689130112643718,0.8629934003162476,0.0
zero_input,-1,3,Zero Input,115,0.0,-1,1.5635057759880773,2.0882049980633584,4.690517327964232,5.5371301685586385,6.8718883991241455,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,116,0.0,-1,0.021714124383818256,0.1209877052636025,0.06514237315145477,1.3357695238089856e-06,1.4901161193847656e-07,0.048369823437081905,1.8258625159485569,0.0025
lqr_node3_q1_r1,-1,3,LQR,116,0.0,-1,0.0323381548569749,0.1476089240325759,0.09701446457092472,1.1411346035239138e-06,9.685754776000977e-07,0.025153998871681415,0.2540684375126252,0.0
zero_input,-1,3,Zero Input,116,0.0,-1,0.8049969243966446,1.1473646445694394,2.414990773189934,4.649429913472246,5.60118955373764,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,117,0.0,-1,0.015421743801595986,0.06679026822789312,0.04626523140478796,5.0981805004455424e-06,2.08243727684021e-06,0.07145033500382579,3.8327717910341264,0.0075
lqr_node3_q1_r1,-1,3,LQR,117,0.0,-1,0.019095061591138145,0.0777897186757506,0.05728518477341443,4.256391368898345e-06,4.954636096954346e-07,0.07164667238791785,3.1216982488689617,0.0
zero_input,-1,3,Zero Input,117,0.0,-1,1.3077984057438072,1.756634188419031,3.9233952172314215,3.4526283786068728,4.033302307128906,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,118,0.0,-1,0.05530734728973015,0.18405323532990653,0.16592204186919046,1.622303561479957e-05,5.319714546203613e-06,0.07473086219680428,1.9362740135691632,0.0
lqr_node3_q1_r1,-1,3,LQR,118,0.0,-1,0.058856913209091546,0.17147158248227365,0.17657073962727465,2.095144655969408e-05,2.428889274597168e-06,0.05639632610827699,0.7030281797554317,0.0
zero_input,-1,3,Zero Input,118,0.0,-1,0.7306215378470526,0.980802049543609,2.191864613541158,2.185821171734988,1.0954871624708176,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,119,0.0,-1,0.04613120030768135,0.18894205035851372,0.13839360092304406,3.9802628488820275e-05,8.702278137207031e-06,0.15076978176720718,8.767753764066413,0.025
lqr_node3_q1_r1,-1,3,LQR,119,0.0,-1,0.06391938652646599,0.23440526640109471,0.19175815957939796,4.786135697806323e-06,1.7285346984863281e-06,0.11860082509984016,6.0798908627780675,0.0125
zero_input,-1,3,Zero Input,119,0.0,-1,1.1520901554986427,1.5582909433768388,3.4562704664959276,1.6937445788471788,3.1051963567733765,0.0,0.0,0.0
