model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
lqr_node3_q1_r1,-1,3,LQR,15,0.0,-1,0.04602399402714535,0.13117059272627835,0.13807198208143603,1.8582871919612824e-05,2.009328454732895e-06,0.04191560192706609,0.3481357396972245,0.0
zero_input,-1,3,Zero Input,15,0.0,-1,0.6209689738462716,0.8391720499480968,1.8629069215388145,1.7660864974245614,0.4410235583782196,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,16,0.0,-1,0.009154950666197995,0.03567721466431187,0.027464851998593984,2.6488429464307833e-05,7.502734661102295e-06,0.029288070030194565,0.3666128350307327,0.0
lqr_node3_q1_r1,-1,3,LQR,16,0.0,-1,0.010916937506759225,0.03715112802706591,0.03275081252027767,7.694661847235243e-06,9.313225746154785e-07,0.03178767738407565,0.4079913601018736,0.0
zero_input,-1,3,Zero Input,16,0.0,-1,0.7431017427658004,1.1456179121778913,2.229305228297401,1.3024493199025775,0.724141463637352,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,17,0.0,-1,0.015498438314902453,0.059769483045594984,0.04649531494470736,7.068830323807987e-06,3.3155083656311035e-06,0.039069696341146556,1.0630343448402226,0.0
lqr_node3_q1_r1,-1,3,LQR,17,0.0,-1,0.018485505356246656,0.0636314638594884,0.05545651606873997,7.245238341483069e-06,1.1511147022247314e-06,0.03684010290979918,0.49077611253279374,0.0
zero_input,-1,3,Zero Input,17,0.0,-1,0.3576422545273888,0.5178616616208962,1.0729267635821664,0.9134973436823965,1.1355339139699936,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,18,0.0,-1,0.014366778028905949,0.06570410357049668,0.043100334086717845,4.657751156224145e-06,2.1955929696559906e-06,0.046777380560698946,1.575867067052993,0.0025
lqr_node3_q1_r1,-1,3,LQR,18,0.0,-1,0.026174599537432366,0.09225299427899644,0.07852379861229711,4.226715522415844e-06,7.087364792823792e-07,0.03075009605702535,0.2876448633970645,0.0
zero_input,-1,3,Zero Input,18,0.0,-1,0.2785471872846942,0.3852495421278098,0.8356415618540826,0.8619917751531359,0.46143777668476105,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,19,0.0,-1,0.06729502811256087,0.22186943305674592,0.2018850843376826,1.9760330977999135e-05,6.943941116333008e-06,0.12332953824348135,6.417206314456111,0.015
lqr_node3_q1_r1,-1,3,LQR,19,0.0,-1,0.0719691586916057,0.21750970983604265,0.2159074760748171,2.5218415913390525e-05,2.4512410163879395e-06,0.13926786107672431,7.3940996085627635,0.015
zero_input,-1,3,Zero Input,19,0.0,-1,1.8340287286593135,2.5208667185386053,5.502086185977941,2.2395678561318806,0.3487289547920227,0.0,0.0,0.0
