method,controlled_nodes,scenario,mismatch,noise_std,controller_seed,mae,rmse,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
SAC,2,mismatch,2.0,0.0,1024,0.1493380967118964,0.34344757876705245,0.156576808360204,0.13966483878903085,9.36160046753436,0.0,
SAC,2,noise,0.0,0.05,42,0.2572338484621321,0.41540045443368456,0.5078135383367124,0.49858084321022034,76.03929756849075,0.00025,
SAC,2,noise,0.0,0.05,123,0.26657321245054105,0.4286340504910674,0.4988542079787563,0.5352602644823492,89.73658424057614,0.0,
SAC,2,noise,0.0,0.05,1024,0.2658826325312667,0.42960652758260665,0.5027690584751214,0.5089041750878096,92.6262749212248,0.0,
SAC,2,nominal,0.0,0.0,42,0.12013451819886208,0.2947443355293168,0.12255581671869334,0.11523420754820106,6.618855646236405,0.00025,
SAC,2,nominal,0.0,0.0,123,0.11981096645045505,0.30333933007553154,0.1099437003291246,0.07671942226588722,6.428327449034609,0.0,
SAC,2,nominal,0.0,0.0,1024,0.11205591734896267,0.30145553873954317,0.08415867258265701,0.07716023190878327,5.767839211697885,0.0,
SAC,2,pulse,0.0,0.0,42,0.3581407334618847,1.011754150600502,0.2276093908666092,0.1527456790208816,29.52483426863564,0.018625,1.5507400902678532
SAC,2,pulse,0.0,0.0,123,0.3702244428340334,0.9735643877283111,0.183000190562948,0.16914655268192288,13.98734459217404,0.0,1.6125582814999668
SAC,2,pulse,0.0,0.0,1024,0.5333628412288983,1.1719648788243957,0.2435891910674579,0.10998944342136378,32.0830670123501,0.013625000000000002,2.6044171996016185
SAC,3,mismatch,2.0,0.0,42,0.06543555626193179,0.13800217682320542,0.10153859480626211,0.08249467401765283,4.914511957048464,0.0,
SAC,3,mismatch,2.0,0.0,123,0.06364524042629033,0.13832813079538495,0.09336254199978283,0.07244404219090933,5.063907439175067,0.0,
