scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,113,0.0,-1,0.21486745944559413,0.03792409604001376,0.0048139095306396484,11.777818707760128,0.0275,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,114,0.0,-1,0.03668455266434752,0.05403869645095166,0.05029347538948059,1.2364835041328177,0.0025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,115,0.0,-1,0.0668809186128771,0.07509865193846232,0.1403796523809433,1.316536432981723,0.0,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,116,0.0,-1,0.04801331236161112,0.07945357980551543,0.12926281988620758,2.5448786030107233,0.005,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,117,0.0,-1,0.10175158489411906,0.0522425930004245,0.048425592482089996,12.156492922027283,0.0275,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,118,0.0,-1,0.04258957257957282,0.05276047396990988,0.02782263047993183,1.6845620983366238,0.0025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_123,123,119,0.0,-1,0.2623844820090995,0.06282164949210889,0.08795812726020813,14.49739234539781,0.035,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,100,0.0,-1,0.04717061474918545,0.04244261483351389,0.018027007579803467,6.060362133656873,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,101,0.0,-1,0.03029949236643777,0.025880837479583276,0.009122590534389019,2.986175819662868,0.0075,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,102,0.0,-1,0.06599092449805546,0.021633110175852056,0.018151402473449707,9.970144520261945,0.0225,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,103,0.0,-1,0.07336955531291255,0.049409042606935086,0.020243793725967407,8.436090446113798,0.025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,104,0.0,-1,0.15072272825523195,0.051708024811505535,0.018947839736938477,17.656890668061674,0.0475,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,105,0.0,-1,0.03733944758062165,0.062214107545851556,0.01572064869105816,9.714020891296997,0.025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,106,0.0,-1,0.1308659379644759,0.009630092484359112,0.008314266335219145,14.234144768541032,0.03,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,107,0.0,-1,0.10039843009019941,0.022938598752205754,0.010625571012496948,7.772773901663542,0.02,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,108,0.0,-1,0.032810359976098796,0.04864676519193583,0.018297802656888962,4.038144149953683,0.0125,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,109,0.0,-1,0.10116834861496564,0.06680322311427674,0.021200933028012514,11.083734409152395,0.0175,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,110,0.0,-1,0.041934744848777614,0.05557726233921669,0.06898115575313568,5.910361841856789,0.015,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,111,0.0,-1,0.25366469500419947,0.06791801632807394,0.025946934707462788,24.454768961571418,0.0625,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,112,0.0,-1,0.043143419886212286,0.043109399976530745,0.04439985752105713,3.907884071880461,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,113,0.0,-1,0.21232311575265533,0.03565954972334482,0.041687190532684326,11.964888374131204,0.0275,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,114,0.0,-1,0.036160199642444615,0.046748786244863345,0.02216528356075287,6.53533021767291,0.005,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,115,0.0,-1,0.06344470117010442,0.03344532483498807,0.11785943806171417,5.482332011627992,0.0025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,116,0.0,-1,0.04453172664783573,0.03211125345141799,0.1079181432723999,3.690773144833762,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,117,0.0,-1,0.10038179022678835,0.049268863836510315,0.03373001143336296,12.598575842542017,0.03,
